Order,Happiness,Review,University
1,5,Great University,Columbia University
2,4,"Columbia is a prestigious, well-placed school. It's definitely expensive, so that's something to think about. Expect a lot of work, but you'll eventually get used to it and the opportunities are amazing if you're comfortable with reaching out. Some of my favorite researchers and scientists in high school are now my professors.",Columbia University
3,1,"Columbia is a well known ivy, but to be honest its too big for a undergrad. I felt lost so often and I did not have intimate relationships with my professors. I transferred to a liberal arts college and have never been happier. Columbia might be well known because its so big, but smaller schools have better education and happier students.",Columbia University
4,1,This is a terrible institution with terrible leaders. Students are treated miserably. Need some leadership renovation.,Columbia University
5,5,Love it,Columbia University
6,3,You got pears? Buy one get one free. Pass one to your son forever and ever!,Columbia University
7,2,Hate attending this school and so do a decent amount of students here but none have the guts to transfer because of the name it carries. I should have went to a CUNY school :(,Columbia University
8,2,"Don't expect real teachers, its a research institution",Columbia University
9,5,I love my school,Columbia University
10,3,don't regret it,Columbia University
11,3,Great school,Columbia University
12,4,Great!,Columbia University
13,5,Amazing!,Columbia University
14,5,"Some pros and cons, work is stressful but also definitely a work hard party hard culture around a lot of the campus.",Columbia University
15,4,"A really great university with a very nice location in the middle of concrete jungle. There are a lot of options to meet, mingle and talk. Dept. of Chemistry is straightforward and nice place to be. However everybody is expected to work hard, and it is really a place to go. Tuition is extremely high as well as living costs are among highest...",Columbia University
16,3,"Advising could be improved and there is too much interdepartmental drama between administration and non-tenured staff and graduate TAs. Students suffer because of lack of continuity among staff and coursework. Excellent opportunities post graduation. On campus recruitment, A+++ professors, off campus eats and good social life.",Columbia University
17,4,School of social work.,Columbia University
18,1,Hated every second here. Some of my teachers were ok but overall I felt like I wasted a huge amount of my parents' money.,Columbia University
19,5,Cool place.,Columbia University
20,1,"I went to a summer program - ALP. I had three professors, two of them were awful, teaching us as if we were high school kids, namely, the courses were way too easy, and the professors just did not adjust it. Columbia is prestigious, but the teaching quality of the professors really upset me.",Columbia University
21,5,"I did not take any classes online, so I really cannot add anything to this discussion. If you spent your freshman year at Columbia during COVID and had to take online classes, I hope you can return to campus this year!",Columbia University
22,4,"I have enjoyed my time at Columbia, although it has been hard to find a balance between social life, academics, and extracurriculars.",Columbia University
23,3,"Honestly, I would not recommend this school to anyone who is facing a dire financial crisis because this university is one of the brokest among the Ivies. The financial aid is laughable and the university still wants to increase tuition when the students can’t afford it. The minorities on campus are ignored and neglected, especially the Black community on campus. This school is somewhat segregated between rich and poor. They only care about you as an individual if you have wealth. Otherwise, you’ll be disregarded like the rest of us.",Columbia University
24,4,"Great university with great professors. I really enjoy GS as it's got the feel of a small college with the resources of a large university. There are many sources of support and opportunity built in for the non-traditional student. Everyone has got that ""Columbia Face"" - put together on the outside and freaking out on the inside - so you're not alone!",Columbia University
25,3,"After attending Tufts University and enjoying a challenging yet engaging and nurturing environment and relatively warm, friendly and diverse community. Columbia was a tremendous disappointment. Students are extremely competitive and cold, which is other exacerbated by grade deflations and lack of curves. Columbia very much rests on its laurels and falls short when it comes to quality academics, advising and opportunities considering the reputation, difficulty, and very high price tag. My experience at Columbia has been mediocre, at best.",Columbia University
26,3,"My overall opinion of Columbia University in the City of New York is the University is good. There's the allure of New York City which is just a hop, skip, and a jump away. There is always something to do here at Columbia. The resources are out there you just have to find them. Also, the academics are top-notch, I would say Columbia is just as competitive as any other University in the world. The down-side is the price of admission I don't believe that the price of admission is worth the name the University is.",Columbia University
27,4,"NYU has provided me so many opportunities due to its fantastic faculty and location. The name alone holds a lot of prestige when searching for internships and job opportunities. However, there is a strong pre-professional vibe here and many people here are very competitive.",New York University
28,5,Going to NYU has been a great experience. I've met lots of really smart people that have challenged my worldview. Being right in the center of NYC and the prestige of NYU has made searching for internships a breeze.,New York University
29,2,"Great reputation, great location. Cool place to be for MA if you can afford it. Negatives relate to NYU being cheap and losing good professors during COVID. Facilities would be great if any were open. They didn't even keep their free museum access. Clubs and social limited at this time. Would have preferred UT during COVID.",New York University
30,4,I went to NYUCGA and honestly my best two years despite force to go online for one and a half semesters. My peers are amazing connections to have and professors are very helpful. NYU got some mad connections for research or job opportunities. I completed my studies at NYU feeling more prepared and accomplished than ever.,New York University
31,1,"Haven't graduated my Master's program yet, but I will be honest, I am not impressed with NYU at all. It really breaks my heart because I was so excited to go here. Overpriced, feels like staff don't care, it's a struggle to access work study jobs and funds after approval, scholarships are impossible to get no matter how many you apply to, etc.",New York University
32,3,"Kinda overpriced, but thats New York in general.",New York University
33,2,It was a DISASTER during Covid.,New York University
34,3,"If we can stop getting redirected all the time, there'd be so much less frustration. The math department faculty is (negatively) something else. The chair is so disorganized. I have to write angry emails, complain to my advisor, and yell at the chair just to register for a class. Not worth it. The food is awful &amp; freshman &quot;need&quot; the meal plan. why.",New York University
35,4,NYU is an awesome school in a super fun location! Obviously thinks are rough because of COVID but with all of the opportunities it's definitely still possible to have a great time,New York University
36,3,"NYU is in a perfect location in NYC and you'll never be too far from your classes, giving Washington Square Park a real campus vibe. In terms of resources, often does feel like we are paying for way more than we are getting. Some professors are great, some aren't. Overall enjoyed my time here, largely attributed to the location.",New York University
37,1,Here you wont have the proper college experience. NYU is probably the most overrated college and it is only helpful for students who desire to put their foot in Wall Street.,New York University
38,1,This is probably the most overrated university there is. Very expensive and lots of poorly qualify professors. Tones of students drop up because not help them when is necessary. I had a better education and college experience in a smaller college. Do yourself a favor and go to a school that foster learning.,New York University
39,5,Great university!,New York University
40,5,"If you love diversity, chaos, urban life, and challenging coursework plus hate trumpies then you will love NYU.",New York University
41,4,"Brilliant, when you first get here. Explosively exciting. But after a while the lost-ness, especially if you're a small-town kid like me, sets in. You start feeling small and alone and it's as if everyone knows what they're doing but you. Don't tell anyone or risk being alienated. Don't be different or you're &quot;pretentious&quot;. I just want to go home.",New York University
42,5,This school is so amazing and feels like home! It's exactly what I envisioned and I couldn't picture myself anywhere else.,New York University
43,5,AMAZING!!!,New York University
